time,value
1542924901,10.323
1542928501,10.905
1542932101,10.365
1542935701,10.836
1542939301,10.323
1542942901,10.870
1542946501,10.410
1542950101,10.760
1542953701,10.145
1542957301,10.791
1542960901,10.251
1542964501,11.018
1542968101,10.458
1542971701,10.915
1542975301,10.785
1542978901,10.752
1542982501,10.269
1542986101,10.789
1542989701,10.356
1542993301,10.789
1542996901,10.672
1543000501,10.962
1543004101,10.615
1543007701,10.959
1543011301,10.479
1543014901,11.027
1543018501,10.430
1543022101,10.749
1543025701,10.381
1543029301,10.857
1543032901,10.477
1543036501,10.803
1543040101,10.598
1543043701,10.744
1543047301,10.613
1543050901,10.737
1543054501,10.442
1543058101,10.816
1543061701,10.551
1543065301,10.692
1543068901,10.471
1543072501,10.881
1543076101,10.610
1543079701,10.973
1543083301,10.887
1543086901,10.836
1543090501,10.643
1543094101,10.886
