time,value
1543255801,2994963.871
1543259401,3009302.479
1543263001,3012363.256
1543266601,2991874.894
1543270201,2989834.296
1543273801,2983975.987
1543277401,3012965.479
1543281001,3017267.694
1543284602,2991455.775
1543288202,3002878.949
1543291801,2983842.778
1543295401,3005727.464
1543299001,3008055.517
1543302602,3002755.532
1543306201,3003083.623
1543309802,2962958.693
1543313402,2991892.723
1543317002,2999004.399
1543320601,2994422.814
1543324202,3002337.742
1543327802,2994318.986
1543331401,2896205.824
1543335002,2895918.732
1543338601,3006570.071
1543342201,3003258.662
1543345802,2954582.441
1543349401,3001054.827
1543353001,2991789.693
1543356601,2984473.049
1543360201,2941733.862
1543363801,3015107.051
1543367401,2997598.422
1543371001,3004918.369
1543374601,3001505.851
1543378202,3002053.436
1543381802,2988637.750
1543385402,3008035.819
1543389001,3007190.923
1543392601,3010838.283
1543396201,3008750.569
1543399801,3002675.974
1543403401,3001786.088
1543407001,3000331.636
1543410601,2978697.562
1543414201,2996507.113
1543417801,3002823.817
1543421401,2939710.828
1543425001,3001974.124
