time,value
1543255201,99500.00
1543258801,99620.00
1543262401,99620.00
1543266001,99500.00
1543269601,99250.00
1543273201,99370.00
1543276801,99620.00
1543280401,99370.00
1543284001,99500.00
1543287601,99620.00
1543291201,99620.00
1543294801,99370.00
1543298401,99500.00
1543302001,99620.00
1543305601,99620.00
1543309201,99500.00
1543312801,99620.00
1543316401,99370.00
1543320001,99500.00
1543323601,99500.00
1543327201,99500.00
1543330801,99500.00
1543334401,99620.00
1543338001,99120.00
1543341602,99500.00
1543345201,99620.00
1543348801,99620.00
1543352401,99500.00
1543356001,99500.00
1543359601,99500.00
1543363201,99620.00
1543366801,99370.00
1543370401,99620.00
1543374001,99620.00
1543377601,99500.00
1543381201,99500.00
1543384801,99620.00
1543388401,99620.00
1543392001,99620.00
1543395601,99500.00
1543399201,99500.00
1543402801,99620.00
1543406401,99620.00
1543410001,99620.00
1543413601,99500.00
1543417201,99370.00
1543420801,99500.00
1543424401,99620.00
