time,value
1543256101,15.156
1543259701,15.143
1543263301,15.233
1543266901,15.295
1543270501,15.612
1543274101,15.124
1543277701,15.210
1543281301,15.141
1543284901,15.267
1543288501,15.143
1543292101,15.689
1543295701,15.157
1543299301,14.677
1543302901,15.239
1543306501,15.248
1543310101,15.303
1543313701,15.216
1543317301,15.363
1543320901,15.297
1543324501,15.260
1543328101,15.313
1543331701,15.290
1543335301,15.207
1543338901,15.207
1543342501,15.260
1543346101,15.258
1543349701,15.170
1543353301,15.061
1543356901,15.145
1543360501,15.444
1543364101,15.189
1543367701,14.446
1543371301,15.279
1543374901,15.647
1543378501,15.285
1543382101,15.255
1543385701,15.166
1543389301,15.222
1543392901,15.339
1543396501,15.264
1543400101,15.418
1543403701,14.951
1543407301,15.162
1543410901,15.864
1543414501,15.306
1543418101,15.167
1543421701,15.271
1543425301,15.254
