time,value
1542924601,2126758.036
1542928201,2135544.424
1542931801,2127305.617
1542935401,2148659.090
1542939001,2136856.401
1542942601,2126222.464
1542946201,2131251.783
1542949801,2128912.684
1542953401,2126940.322
1542957001,2143966.730
1542960601,2137750.153
1542964201,2134007.275
1542967801,2132744.721
1542971402,2137650.670
1542975001,2130599.976
1542978601,2136945.447
1542982201,2136445.112
1542985801,2129799.172
1542989401,2123057.066
1542993001,2122015.150
1542996601,2135146.309
1543000201,2130034.936
1543003802,2135593.221
1543007401,2130820.355
1543011001,2122854.153
1543014601,2128898.619
1543018201,2138454.425
1543021801,2134583.921
1543025401,2143304.784
1543029001,2132425.999
1543032601,2128426.385
1543036201,2134203.464
1543039801,2125765.022
1543043401,2143514.391
1543047001,2132715.225
1543050601,2132458.857
1543054201,2130295.557
1543057801,2135352.423
1543061402,2143309.039
1543065001,2125269.490
1543068601,2126345.599
1543072201,2127557.393
1543075801,2125292.085
1543079402,2128773.089
1543083001,2140881.633
1543086601,2141982.328
1543090201,2134778.106
1543093801,2132477.182
