time,value
1545156746,1560970.273
1545156769,1598356.199
1545156791,1654862.452
1545156812,1640455.398
1545156833,1569734.653
1545156855,1600831.339
1545156876,1588331.383
1545156898,1627862.331
1545156919,1619422.002
1545156940,1604218.144
1545156961,1632018.989
1545156982,1573549.433
1545157004,1587187.745
1545157025,1621992.039
1545157047,1624868.085
1545157068,1632053.251
1545157089,1654606.036
1545157109,1650699.351
1545157130,1618214.296
1545157152,1644945.950
1545157173,1631492.841
1545157194,1616618.943
1545157215,1651601.466
1545157236,1619929.771
1545157258,1614377.808
1545157279,1622734.697
1545157300,1625923.180
1545157321,1614926.520
1545157343,1653258.159
1545157363,1593568.191
1545157385,1639015.326
1545157406,1639733.257
1545157427,1619284.897
1545157448,1614055.058
1545157469,1645799.884
1545157490,1666867.678
1545157511,1669442.901
1545157532,1578512.900
1545157553,1629552.986
1545157574,1637463.301
1545157595,1645554.676
1545157616,1651594.811
1545157637,1661877.267
1545157658,1642691.621
1545157678,1623757.199
1545157700,1635828.304
1545157721,1599531.031
1545157742,1635543.935
