time,value
1545047218,2457
1545047235,2395
1545047252,2283
1545047271,2562
1545047287,2457
1545047304,2475
1545047322,2490
1545047339,2470
1545047356,2097
1545047375,2589
1545047391,2490
1545047408,2403
1545047426,2398
1545047443,2476
1545047460,2455
1545047477,2419
1545047494,2469
1545047511,2457
1545047529,2326
1545047547,2496
1545047563,2447
1545047581,2453
1545047598,2217
1545047617,2586
1545047633,2348
1545047651,2300
1545047669,2450
1545047686,2455
1545047703,2472
1545047720,2395
1545047738,2450
1545047755,2476
1545047772,2219
1545047791,2338
1545047809,2364
1545047826,2568
1545047843,2396
1545047860,2342
1545047878,2388
1545047896,2396
1545047913,2515
1545047930,2103
1545047949,2111
1545047969,2456
1545047986,2512
1545048003,2582
1545048020,2428
1545048037,2471
