time,value
1545155193,9.315
1545155204,9.029
1545155214,8.706
1545155225,8.697
1545155235,8.681
1545155245,8.635
1545155255,8.638
1545155265,8.594
1545155275,8.604
1545155285,8.529
1545155295,8.487
1545155305,8.647
1545155315,8.649
1545155325,8.646
1545155335,8.562
1545155345,8.593
1545155355,8.616
1545155365,8.605
1545155375,9.859
1545155387,10.017
1545155398,8.729
1545155408,8.629
1545155420,8.552
1545155429,8.580
1545155440,8.664
1545155450,8.632
1545155460,8.575
1545155470,8.616
1545155480,8.561
1545155490,8.581
1545155500,8.560
1545155510,8.585
1545155520,8.567
1545155530,8.672
1545155540,8.654
1545155550,8.578
1545155560,8.587
1545155570,8.743
1545155580,8.626
1545155590,8.594
1545155600,9.004
1545155611,8.560
1545155621,8.579
1545155631,8.561
1545155642,8.564
1545155652,8.623
1545155661,8.650
1545155672,8.604
