time,value
1545050976,130.755
1545051020,152.917
1545051060,146.532
1545051101,140.416
1545051143,153.486
1545051182,141.734
1545051223,142.348
1545051265,135.295
1545051306,136.043
1545051349,137.191
1545051389,142.685
1545051431,137.634
1545051472,146.868
1545051513,144.640
1545051552,140.659
1545051595,137.556
1545051635,152.190
1545051675,143.783
1545051715,143.824
1545051756,150.089
1545051796,142.857
1545051836,139.783
1545051877,142.467
1545051918,140.879
1545051959,140.620
1545052002,142.400
1545052043,146.725
1545052083,142.897
1545052124,144.087
1545052166,139.627
1545052207,146.052
1545052248,136.869
1545052290,140.678
1545052332,133.824
1545052375,146.381
1545052415,135.078
1545052458,140.439
1545052500,133.225
1545052543,147.759
1545052583,145.877
1545052623,158.774
1545052663,133.758
1545052705,144.306
1545052746,141.895
1545052786,144.257
1545052828,150.247
1545052868,149.362
1545052908,151.852
