time,value
1545151952,1450857.511
1545151973,1513828.796
1545151994,1534326.080
1545152015,1504782.415
1545152036,1471249.576
1545152058,1498976.871
1545152079,1520686.984
1545152100,1519293.537
1545152121,1521685.538
1545152142,1515086.858
1545152163,1525654.572
1545152184,1519614.451
1545152204,1513568.365
1545152226,1528261.008
1545152247,1532442.043
1545152267,1527648.869
1545152288,1526866.062
1545152309,1517200.746
1545152330,1536093.731
1545152351,1526457.712
1545152372,1530587.565
1545152393,1521671.287
1545152414,1516660.944
1545152435,1524276.100
1545152456,1523674.485
1545152477,1486436.882
1545152498,1483704.302
1545152519,1526603.323
1545152540,1513408.467
1545152561,1479874.859
1545152582,1511048.854
1545152603,1529659.155
1545152624,1511552.617
1545152645,1526943.621
1545152666,1525737.171
1545152687,1527000.374
1545152708,1531586.943
1545152729,1540890.892
1545152750,1530785.803
1545152770,1530021.194
1545152791,1526571.795
1545152812,1490344.245
1545152834,1210869.873
1545152858,1294867.526
1545152887,1377182.763
1545152910,1334801.941
1545152934,1052110.442
1545152961,1064342.314
