time,value
1545146488,580
1545146552,580
1545146611,556
1545146674,615
1545146730,540
1545146794,558
1545146855,684
1545146906,601
1545146964,560
1545147025,561
1545147087,551
1545147150,568
1545147210,579
1545147270,552
1545147333,585
1545147392,541
1545147455,592
1545147514,604
1545147571,560
1545147633,566
1545147693,561
1545147755,601
1545147812,565
1545147873,578
1545147932,560
1545147994,591
1545148053,592
1545148111,673
1545148163,626
1545148218,575
1545148278,586
1545148337,551
1545148400,599
1545148458,573
1545148518,593
1545148576,563
1545148637,602
1545148695,578
1545148754,566
1545148815,621
1545148871,570
1545148932,562
1545148993,559
1545149055,579
1545149115,628
1545149170,563
1545149231,568
1545149292,593
