time,value
1545145887,12.667
1545145900,12.526
1545145912,13.681
1545145926,16.947
1545145943,14.722
1545145958,13.653
1545145971,13.115
1545145985,12.352
1545145997,12.774
1545146010,12.620
1545146022,12.732
1545146035,12.244
1545146047,12.311
1545146060,12.036
1545146072,12.402
1545146084,13.249
1545146097,12.359
1545146110,11.921
1545146122,12.118
1545146134,12.384
1545146146,11.937
1545146158,12.032
1545146170,12.458
1545146183,12.178
1545146195,11.953
1545146207,12.898
1545146220,12.117
1545146232,12.004
1545146244,12.187
1545146256,12.491
1545146268,12.288
1545146281,12.183
1545146293,12.046
1545146305,12.014
1545146317,12.031
1545146329,12.374
1545146341,12.636
1545146354,12.240
1545146366,12.140
1545146378,12.118
1545146391,12.076
1545146403,12.158
1545146415,12.217
1545146427,11.990
1545146439,12.119
1545146451,12.393
1545146464,12.054
1545146476,12.371
