time,value
1545145455,8.622
1545145464,8.593
1545145473,8.498
1545145481,8.497
1545145490,8.606
1545145498,8.702
1545145507,8.786
1545145516,8.693
1545145525,8.747
1545145533,8.728
1545145542,8.629
1545145551,8.871
1545145560,8.802
1545145568,8.883
1545145577,8.851
1545145586,8.942
1545145595,8.847
1545145604,8.914
1545145613,8.989
1545145622,8.800
1545145631,8.868
1545145640,8.737
1545145648,8.876
1545145657,8.809
1545145666,8.814
1545145675,8.810
1545145684,9.405
1545145693,9.837
1545145703,9.839
1545145713,9.234
1545145722,9.048
1545145731,8.922
1545145740,8.805
1545145749,8.964
1545145758,8.943
1545145767,9.048
1545145776,9.649
1545145786,11.302
1545145797,9.382
1545145806,8.908
1545145815,8.763
1545145824,9.052
1545145833,8.879
1545145842,8.836
1545145851,9.028
1545145860,9.018
1545145869,9.120
1545145878,9.005
