time,value
1545160373,57.849
1545160479,107.898
1545160546,89.380
1545160614,43.925
1545160780,92.317
1545160842,95.169
1545160950,94.505
1545161011,89.125
1545161072,84.520
1545161155,99.554
1545161215,91.200
1545161296,90.441
1545161356,90.822
1545161432,92.619
1545161492,114.618
1545161555,75.775
1545161665,111.166
1545161725,111.384
1545161787,91.605
1545161869,110.283
1545161930,96.609
1545161993,77.255
1545162094,102.654
1545162148,114.431
1545162210,109.145
1545162271,91.327
1545162353,109.242
1545162414,104.196
1545162474,108.162
1545162537,89.476
1545162620,125.749
1545162682,101.575
1545162763,95.928
1545162868,98.563
1545162930,90.004
1545163018,74.411
1545163105,63.623
1545163219,84.364
1545163305,102.220
1545163368,98.227
1545163446,80.249
1545163525,96.105
1545163585,70.999
1545163691,129.133
1545163732,101.898
1545163811,115.035
1545163872,65.925
1545164005,109.040
