time,value
1545036287,1723930.945
1545036312,1785605.030
1545036337,1790729.490
1545036359,1686979.764
1545036380,1731527.588
1545036402,1698821.770
1545036424,1701035.551
1545036446,1687204.487
1545036467,1721565.345
1545036489,1656404.447
1545036510,1682894.085
1545036532,1696320.294
1545036554,1667468.690
1545036576,1619673.156
1545036597,1699121.367
1545036619,1591212.582
1545036641,1642204.772
1545036663,1585904.199
1545036684,1607950.386
1545036706,1658050.370
1545036728,1649739.971
1545036750,1679662.883
1545036771,1635888.691
1545036793,1716848.994
1545036814,1665054.787
1545036838,1692486.247
1545036860,1660830.983
1545036882,1653882.153
1545036904,1657315.399
1545036926,1748251.070
1545036948,1645695.365
1545036970,1621493.910
1545036992,1633781.189
1545037014,1659168.396
1545037036,1621775.602
1545037057,1637044.773
1545037081,1736633.836
1545037103,1636993.363
1545037126,1683787.413
1545037147,1749477.974
1545037169,1704520.969
1545037191,1641278.836
1545037212,1738636.373
1545037234,1676130.291
1545037257,1654921.520
1545037279,1751514.512
1545037301,1718147.586
1545037323,1652530.912
