time,value
1545038337,2580
1545038354,2696
1545038369,2625
1545038385,2580
1545038401,2619
1545038416,2595
1545038432,2624
1545038448,2561
1545038464,2408
1545038481,2608
1545038497,2566
1545038513,2539
1545038529,2625
1545038545,2674
1545038560,2731
1545038576,2588
1545038592,2389
1545038609,2656
1545038624,2495
1545038641,2499
1545038658,2635
1545038673,2510
1545038690,2444
1545038706,2707
1545038722,2642
1545038738,2579
1545038754,2597
1545038769,2403
1545038786,2567
1545038802,2593
1545038818,2646
1545038835,2534
1545038851,2502
1545038867,2360
1545038885,2609
1545038901,2668
1545038917,2569
1545038933,2521
1545038949,2668
1545038965,2620
1545038980,2379
1545038997,2615
1545039013,2618
1545039029,2458
1545039046,2619
1545039062,2649
1545039077,2590
1545039093,2665
