time,value
1545041011,13.017
1545041024,11.448
1545041036,11.133
1545041047,11.524
1545041058,11.489
1545041070,12.259
1545041082,11.116
1545041093,11.437
1545041105,12.798
1545041118,11.965
1545041130,11.422
1545041141,10.825
1545041152,11.153
1545041163,12.321
1545041175,11.388
1545041187,11.435
1545041198,11.056
1545041209,11.929
1545041221,12.403
1545041234,10.962
1545041245,11.467
1545041256,11.399
1545041267,11.047
1545041278,11.477
1545041290,12.113
1545041302,10.967
1545041313,11.361
1545041324,11.801
1545041336,10.752
1545041347,11.220
1545041358,10.935
1545041369,11.755
1545041381,11.549
1545041392,11.376
1545041404,11.557
1545041415,11.384
1545041427,12.822
1545041440,11.015
1545041451,10.979
1545041462,10.969
1545041473,10.977
1545041484,11.477
1545041495,11.375
1545041506,12.280
1545041519,11.080
1545041530,11.391
1545041541,11.288
1545041552,10.928
