time,value
1545155768,8.006
1545155776,8.237
1545155784,7.943
1545155792,7.963
1545155800,7.917
1545155808,7.975
1545155816,7.941
1545155824,7.915
1545155832,8.017
1545155840,7.947
1545155848,7.976
1545155856,7.927
1545155864,7.973
1545155872,7.958
1545155880,7.970
1545155888,7.993
1545155896,7.928
1545155904,7.921
1545155912,7.911
1545155920,7.968
1545155928,7.938
1545155936,7.919
1545155944,7.973
1545155952,7.986
1545155960,7.902
1545155968,7.990
1545155976,7.929
1545155984,7.928
1545155992,7.972
1545156000,7.933
1545156008,8.000
1545156016,8.020
1545156024,7.967
1545156032,7.979
1545156040,7.949
1545156048,7.956
1545156056,7.957
1545156064,7.972
1545156072,7.954
1545156080,8.204
1545156088,7.996
1545156096,7.938
1545156104,7.999
1545156112,7.952
1545156120,7.910
1545156128,8.011
1545156136,7.959
1545156144,7.971
