time,value
1545043900,305.799
1545043917,351.286
1545043932,321.446
1545043949,347.142
1545043964,356.149
1545043979,375.807
1545043993,359.550
1545044007,372.174
1545044021,375.559
1545044035,366.919
1545044050,337.775
1545044065,375.972
1545044079,346.812
1545044094,352.544
1545044109,370.343
1545044123,365.453
1545044138,354.742
1545044152,360.639
1545044167,370.826
1545044181,362.118
1545044195,355.703
1545044210,349.774
1545044225,378.978
1545044239,371.768
1545044253,337.797
1545044269,368.690
1545044283,369.275
1545044297,361.990
1545044312,374.707
1545044326,376.249
1545044340,359.676
1545044354,353.395
1545044369,381.890
1545044383,367.552
1545044397,357.691
1545044412,378.866
1545044426,366.185
1545044440,381.890
1545044454,365.192
1545044469,363.120
1545044483,384.355
1545044497,356.347
1545044511,359.651
1545044526,378.866
1545044540,371.822
1545044554,358.092
1545044569,361.352
1545044583,363.069
