time,value
1545058357,38499.089
1545058483,40392.248
1545058596,39132.256
1545058717,43248.672
1545058824,44168.366
1545058929,44813.431
1545059031,44695.968
1545059134,44422.964
1545059237,44753.035
1545059339,43775.756
1545059465,44485.858
1545059577,44608.951
1545061080,44271.923
1545061189,44450.095
1545061299,44801.710
1545061405,43870.653
1545061537,44712.253
1545061642,44757.844
1545061744,44374.598
1545061851,43447.800
1545061987,44484.476
1545062090,38614.763
1545062211,43765.515
1545062315,44452.894
1545062418,44116.194
1545062529,43849.597
1545062637,44469.533
1545062742,43771.266
1545062849,43883.861
1545062985,44461.294
1545063088,43807.215
1545063201,44589.814
1545063304,44332.213
1545063411,37243.528
1545063540,42879.728
1545063670,38879.440
1545063830,36235.000
1545063956,41241.785
1545064077,44714.533
1545064184,44055.393
1545064287,44346.365
1545064393,43956.466
1545064502,42192.067
1545064627,44163.279
1545064739,44409.591
1545064847,44095.126
1545064955,44704.792
1545065057,44411.704
