time,value
1545091414,299
1545091544,320
1545091665,315
1545091787,313
1545091910,316
1545092032,325
1545092152,305
1545092278,322
1545092398,307
1545092523,313
1545092647,313
1545092770,321
1545092891,313
1545093014,314
1545093137,310
1545093261,321
1545093382,309
1545093508,304
1545093634,310
1545093760,312
1545093884,307
1545094012,307
1545094137,306
1545094264,309
1545094388,308
1545094513,316
1545094636,312
1545094760,301
1545094888,292
1545095024,309
1545095149,295
1545095280,317
1545095402,295
1545095532,294
1545095662,297
1545095792,306
1545095918,301
1545096046,303
1545096173,308
1545096299,301
1545096428,337
1545096544,336
1545096660,344
1545096773,345
1545096887,340
1545097002,339
1545097117,338
1545097232,335
