time,value
1545077192,228.190
1545077420,232.826
1545077653,230.891
1545077884,231.686
1545078116,229.240
1545078346,234.375
1545078580,232.396
1545078813,233.333
1545079046,231.805
1545079278,233.987
1545079513,232.739
1545079745,231.986
1545079978,231.275
1545080209,234.239
1545080443,231.946
1545080676,231.920
1545080908,231.128
1545081139,229.258
1545081368,231.879
1545081601,230.874
1545081832,230.386
1545082062,232.105
1545082294,231.735
1545082526,231.085
1545082758,232.387
1545082990,232.142
1545083223,231.931
1545083455,231.441
1545083686,230.928
1545083917,233.827
1545084151,233.321
1545084385,232.650
1545084618,231.540
1545084849,233.738
1545085083,232.008
1545085316,236.506
1545085552,241.300
1545088526,253.225
1545088779,245.565
1545089025,242.739
1545089268,240.082
1545089508,236.999
1545089745,237.483
1545089983,239.099
1545090222,236.583
1545090459,236.617
1545090696,239.542
1545090936,238.648
