time,value
1545066300,223.338
1545066538,222.780
1545066769,221.694
1545066999,253.738
1545067453,226.962
1545067685,223.439
1545067912,222.875
1545068137,222.591
1545068360,218.642
1545068580,218.632
1545068800,218.062
1545069019,217.274
1545069238,219.132
1545069458,221.869
1545069681,219.491
1545069902,218.551
1545070121,218.793
1545070342,218.960
1545070562,218.875
1545070782,220.875
1545071014,219.533
1545071235,220.365
1545071457,217.060
1545071675,219.444
1545071896,218.638
1545072116,220.746
1545072338,219.300
1545072558,219.443
1545072779,220.523
1545073001,221.402
1545073223,219.704
1545073445,218.971
1545073665,220.148
1545073886,219.642
1545074107,217.102
1545074325,216.053
1545074543,217.048
1545074761,215.902
1545074978,217.509
1545075197,217.182
1545075415,215.810
1545075633,216.229
1545075850,217.138
1545076068,217.533
1545076287,217.040
1545076505,219.162
1545076725,246.044
1545076974,216.628
