time,value
1545125176,28.100
1545125376,28.942
1545125617,31.944
1545125809,32.389
1545126043,27.776
1545126249,31.139
1545126442,37.768
1545126615,31.045
1545126813,30.153
1545127006,38.838
1545127211,48.538
1545127332,29.459
1545127515,35.557
1545127726,41.638
1545127870,27.783
1545128078,37.951
1545128229,39.502
1545128387,33.084
1545128572,42.025
1545128713,35.393
1545128883,37.305
1545129046,36.373
1545129215,36.949
1545129378,35.855
1545129546,36.679
1545129710,36.759
1545129874,36.649
1545130039,36.668
1545130203,36.010
1545130369,36.269
1545130534,35.618
1545130701,37.390
1545130864,36.824
1545131025,36.414
1545131188,36.073
1545131356,35.779
1545131523,36.511
1545131686,35.987
1545131855,36.177
1545132023,36.087
1545132188,36.255
1545132356,34.644
1545132533,34.729
1545132710,34.278
1545132891,34.942
1545133068,34.500
1545133247,34.707
1545133425,34.708
